 163 | critical  | security        | bug          | [SEC-002] Headers de s├®curit├® HTTP manquants
 164 | critical  | security        | bug          | [SEC-003] Rate limiting incomplet ÔÇö seulement sur login
 165 | critical  | security        | bug          | [SEC-004] Vuln├®rabilit├® de path traversal sur les endpoints de fichiers
 166 | critical  | database        | bug          | [DB-001] Absence de contraintes `HasMaxLength` sur 20+ configurations EF Core
 167 | critical  | database        | performance  | [DB-002] Absence d'index sur 30+ configurations EF Core
 168 | critical  | application     | bug          | [APP-001] 70 commands sans validator (57% des commands)
 169 | critical  | application     | bug          | [APP-002] Autorisations manquantes sur des handlers sensibles
 170 | critical  | application     | performance  | [APP-003] Pattern N+1 dans ListCrossConfigReferencesQueryHandler
 175 | high      | security        | bug          | [SEC-005] CORS trop permissif
 176 | high      | security        | bug          | [SEC-006] Limite de taille des requ├¬tes non configur├®e
 177 | high      | security        | bug          | [SEC-007] Divulgation d'informations dans les erreurs
 178 | high      | database        | performance  | [DB-003] `AsNoTracking()` manquant sur les queries read-only
 179 | high      | database        | performance  | [DB-004] Requ├¬te avec 16 appels DB s├®quentiels dans ResourceGroupRepository
 180 | high      | database        | bug          | [DB-005] Contrainte d'unicit├® manquante sur RoleAssignment
 181 | high      | database        | bug          | [DB-006] Cascade delete complexe et risqu├®e sur AppSetting
 182 | high      | database        | refactor     | [DB-007] Duplication de code dans StorageAccountRepository
 183 | high      | database        | tech-debt    | [DB-008] 56 migrations EF Core accumul├®es sans squash
 185 | high      | application     | refactor     | [APP-005] Handlers god-class (400+ lignes)
 186 | high      | application     | bug          | [APP-006] `.First()` sans v├®rification sur collections vides
 187 | high      | application     | bug          | [APP-007] Double chargement du m├¬me agr├®gat dans un handler
 188 | high      | domain          | bug          | [DDD-003] Collections mutables expos├®es (CorsRule)
 189 | high      | domain          | bug          | [DDD-004] Propri├®t├®s navigation avec `= null!` (null-forgiving abuse)
 190 | high      | domain          | bug          | [DDD-005] Aucun invariant de domaine dans AzureResource.AddDependency
 191 | high      | generation      | bug          | [GEN-003] `.Single()` sans gestion d'erreur dans BicepGenerationEngine
 192 | high      | generation      | bug          | [GEN-004] Injection YAML potentielle dans PipelineGenerationEngine
 193 | medium    | domain          | bug          | [DDD-006] Aucune validation dans les constructeurs de value objects
 194 | medium    | domain          | tech-debt    | [DDD-007] Aucun domain event ├®mis
 195 | medium    | domain          | refactor     | [DDD-008] Duplication du pattern Update dans les agr├®gats
 196 | medium    | domain          | refactor     | [DDD-009] Incoh├®rence `IReadOnlyCollection` vs `IReadOnlyList`
 197 | medium    | domain          | refactor     | [DDD-010] Allocation inutile dans les computed properties (CorsRules)
 199 | medium    | application     | bug          | [APP-008] Masquage incoh├®rent des erreurs d'autorisation
 200 | medium    | application     | bug          | [APP-009] `CancellationToken` manquant sur `IRepository.GetAllAsync()`
 201 | medium    | application     | bug          | [APP-010] ValidationBehavior s'applique aussi aux queries
 202 | medium    | application     | tech-debt    | [APP-011] Pas de domain services pour la logique m├®tier cross-cutting
 203 | medium    | application     | bug          | [APP-012] Repository interface ne standardise pas l'eager loading
 204 | medium    | api             | bug          | [API-001] Documentation 401 Unauthorized incoh├®rente
 205 | medium    | api             | bug          | [API-002] Incoh├®rence des types d'ID (string vs Guid) dans les r├®ponses
 206 | medium    | api             | bug          | [API-003] `ErrorOrExtended` ÔÇö Seule la premi├¿re erreur est retourn├®e
 207 | medium    | api             | bug          | [API-004] `EnumValidation` est case-sensitive
 208 | medium    | api             | bug          | [API-005] Tags Azure sans validation de limites
 209 | medium    | generation      | tech-debt    | [GEN-005] Magic strings dans les API versions Bicep
 210 | medium    | generation      | tech-debt    | [GEN-006] Gestion d'erreurs incoh├®rente entre les engines
 211 | medium    | generation      | tech-debt    | [GEN-007] Identifiers normalization incoh├®rente
 212 | medium    | generation      | refactor     | [GEN-008] Code dupliqu├® : parsing des CorsRules
 213 | medium    | infrastructure  | tech-debt    | [INFRA-001] `BlobService` et `GeneratedArtifactService` enregistr├®s en Singleton
 214 | medium    | infrastructure  | performance  | [INFRA-002] `GitHubGitProviderService` cr├®e un `HttpClient` ├á chaque appel
 215 | low       | domain          | tech-debt    | [DDD-012] `ToString()` manquant sur `SingleValueObject`
 216 | low       | domain          | tech-debt    | [DDD-013] Incoh├®rence null check style (`== null` vs `is null`)
 217 | low       | domain          | tech-debt    | [DDD-014] Raw strings o├╣ des value objects seraient plus type-safe
 218 | low       | domain          | tech-debt    | [DDD-015] Duplication de XML doc sur `RemoveAppSetting`
 219 | low       | api             | tech-debt    | [API-006] Typo dans le nom : `KeyVaultControllerController`
 220 | low       | api             | tech-debt    | [API-007] Nommage incoh├®rent : `UseXyzController` vs convention
 222 | low       | application     | refactor     | [APP-013] Duplication de logique de r├®cup├®ration blob latest
 223 | low       | application     | tech-debt    | [APP-014] Naming incoh├®rent des m├®thodes repository
 224 | low       | generation      | tech-debt    | [GEN-009] Regex peut matcher dans les commentaires/strings
 225 | low       | generation      | tech-debt    | [GEN-010] Pas de validation des modes de d├®ploiement dans AppPipelineGenerationEngine
 227 | low       | infrastructure  | tech-debt    | [INFRA-004] Pas de `DbSet<AzureResource>` pour les requ├¬tes base-type
 243 | critical  | generation      | performance  | [AUDIT][GEN-002] Manipulation de cha├«nes non-s├®curis├®e dans la g├®n├®ration Bicep
 295 | low       | infrastructure  | tech-debt    | [AUDIT][INFRA-003] Projections et DTOs non optimis├®s dans les repositories
